Source Descriptor Code Lang ID,Descriptor,Code,Language,Title,Description,Created Date,Created By,Modified Date,Modified By,Owned Date,Owned By
1,ASPECT,Uncertain,English,Uncertain,Slope: Uncertain,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
2,ASPECT,North,English,North,North facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
3,ASPECT,South,English,South,South facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
4,ASPECT,East,English,East,East facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
5,ASPECT,West,English,West,West facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
6,ASPECT,Northeast,English,Northeast,Northeast facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
7,ASPECT,Northwest,English,Northwest,Northwest facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
8,ASPECT,Southeast,English,Southeast,Southeast facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
9,ASPECT,Southwest,English,Southwest,Southwest facing slope,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS",,,9/24/2015 12:10,"Reisinger, Martin, USDA, ARS"
10,INDIVIDUAL STRUCTURE,Ramets,English,Ramets,Sampled individual plants represent clones,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS"
11,INDIVIDUAL STRUCTURE,Genets,English,Genets,Sampled individual plants represent genetically unique individuals,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS"
12,INDIVIDUAL STRUCTURE,Mixed,English,Mixed,Sampled individual plants represent clones and genetically unique individuals,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:18,"Reisinger, Martin, USDA, ARS"
13,LAND ELEMENT,Plain level,English,Plain level,Plain level,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
14,LAND ELEMENT,Escarpment,English,Escarpment,Escarpment,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
15,LAND ELEMENT,Interfluve,English,Interfluve,Interfluve,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
16,LAND ELEMENT,Valley,English,Valley,Valley,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
17,LAND ELEMENT,Valley floor,English,Valley floor,Valley floor,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
18,LAND ELEMENT,Channel,English,Channel,Channel,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
19,LAND ELEMENT,Levee,English,Levee,Levee,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
20,LAND ELEMENT,Terrace,English,Terrace,Terrace,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
21,LAND ELEMENT,Floodplain,English,Floodplain,Floodplain,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
22,LAND ELEMENT,Lagoon,English,Lagoon,Lagoon,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
23,LAND ELEMENT,Pan,English,Pan,Pan,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
24,LAND ELEMENT,Caldera,English,Caldera,Caldera,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
25,LAND ELEMENT,Open depression,English,Open depression,Open depression,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
26,LAND ELEMENT,Closed depression,English,Closed depression,Closed depression,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
27,LAND ELEMENT,Dune,English,Dune,Dune,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
28,LAND ELEMENT,Longitudinal dune,English,Longitudinal dune,Longitudinal dune,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
29,LAND ELEMENT,Interdunal depression,English,Interdunal depression,Interdunal depression,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
30,LAND ELEMENT,Mangrove,English,Mangrove,Mangrove,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
31,LAND ELEMENT,Upper slope,English,Upper slope,Upper slope,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
32,LAND ELEMENT,Midslope,English,Midslope,Midslope,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
33,LAND ELEMENT,Lower slope,English,Lower slope,Lower slope,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
34,LAND ELEMENT,Ridge,English,Ridge,Ridge,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
35,LAND ELEMENT,Beach,English,Beach,Beach,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
36,LAND ELEMENT,Beach ridge,English,Beach ridge,Beach ridge,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
37,LAND ELEMENT,Rounded summit,English,Rounded summit,Rounded summit,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
38,LAND ELEMENT,Coral atoll,English,Coral atoll,Coral atoll,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
39,LAND ELEMENT,Drainage line,English,Drainage line,Bottom position in flat or almost-flat terrain,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
40,LAND ELEMENT,Coral reef,English,Coral reef,Coral reef,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
41,LAND ELEMENT,Other,English,Other,Other,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:20,"Reisinger, Martin, USDA, ARS"
42,LAND OWNER,Public,English,Public,Public landowner,9/24/2015 14:22,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:22,"Reisinger, Martin, USDA, ARS"
43,LAND OWNER,Private,English,Private,Private landowner,9/24/2015 14:22,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:22,"Reisinger, Martin, USDA, ARS"
44,LAND OWNER,Government,English,Government,Government landowner,9/24/2015 14:22,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:22,"Reisinger, Martin, USDA, ARS"
45,LAND OWNER,Unknown,English,Unknown,Unknown landowner,9/24/2015 14:22,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:22,"Reisinger, Martin, USDA, ARS"
46,LAND USE,Agro-forestry,English,Agro-forestry,Agro-forestry,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
47,LAND USE,Agro-pastoralism,English,Agro-pastoralism,Agro-pastoralism,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
48,LAND USE,Animal husbandry,English,Animal husbandry,Animal husbandry,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
49,LAND USE,Annual field crop,English,Annual field crop,Annual field crop,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
50,LAND USE,Crop agriculture,English,Crop agriculture,Crop agriculture,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
51,LAND USE,Degradation control,English,Degradation control,Degradation control,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
52,LAND USE,Excavations,English,Excavations,Excavations,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
53,LAND USE,Exploitation of natural vegetation,English,Exploitation of natural vegetation,Exploitation of natural vegetation,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
54,LAND USE,Extensive grazing,English,Extensive grazing,Extensive grazing,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
55,LAND USE,Extraction/collection,English,Extraction/collection,Extraction/collection,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
56,LAND USE,Forestry,English,Forestry,Forestry,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
57,LAND USE,Hunting/fishing,English,Hunting/fishing,Hunting/fishing,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
58,LAND USE,Industrial,English,Industrial,Industrial,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
59,LAND USE,Intensive grazing,English,Intensive grazing,Intensive grazing,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
60,LAND USE,Mixed farming,English,Mixed farming,Mixed farming,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
61,LAND USE,Natural forest/woodland,English,Natural forest/woodland,Natural forest/woodland,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
62,LAND USE,Nature and game preservation,English,Nature and game preservation,Nature and game preservation,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
63,LAND USE,Nature protection,English,Nature protection,Nature protection,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
64,LAND USE,Not used/managed,English,Not used/managed,Not used/managed,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
65,LAND USE,Perennial field crop,English,Perennial field crop,Perennial field crop,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
66,LAND USE,Plantation forestry,English,Plantation forestry,Plantation forestry,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
67,LAND USE,Recreational,English,Recreational,Recreational,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
68,LAND USE,Residential,English,Residential,Residential,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
69,LAND USE,Roadside,English,Roadside,Roadside,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
70,LAND USE,Settlement-industry,English,Settlement-industry,Settlement-industry,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
71,LAND USE,Transport,English,Transport,Transport,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
72,LAND USE,Tree & shrub crop,English,Tree & shrub crop,Tree & shrub crop,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
73,LAND USE,Other,English,Other,Other,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:40,"Reisinger, Martin, USDA, ARS"
94,POPULATION SIZE, < 10,English, < 10, < 10,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS"
95,POPULATION SIZE, > 10 <50,English, > 10 <50, > 10 <50,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS"
96,POPULATION SIZE, >50 <100,English, >50 <100, >50 <100,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS"
97,POPULATION SIZE, > 100 <500,English, > 100 <500, > 100 <500,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS"
98,POPULATION SIZE, >500 <1000,English, >500 <1000, >500 <1000,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS"
99,POPULATION SIZE, >1000 <5000,English, >1000 <5000, >1000 <5000,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS"
100,POPULATION SIZE, >5000 <10000,English, >5000 <10000, >5000 <10000,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS"
101,POPULATION SIZE, >10000,English, >10000, >10000,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS",,,9/24/2015 14:52,"Reisinger, Martin, USDA, ARS"
102,SAMPLE AREA,1.  <= 10 sq m,English,1.  <= 10 sq m,<= 10 sq m,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS"
103,SAMPLE AREA,2.  > 10 <= 50 sq m,English,2.  > 10 <= 50 sq m,> 10 <= 50 sq m,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS"
104,SAMPLE AREA,3.  > 50 <= 100 sq m,English,3.  > 50 <= 100 sq m,> 50 <= 100 sq m,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS"
105,SAMPLE AREA,4.  > 100 <= 500 sq m,English,4.  > 100 <= 500 sq m,> 100 <= 500 sq m,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS"
106,SAMPLE AREA,"5.  > 500 <= 1,000 sq m",English,"5.  > 500 <= 1,000 sq m","> 500 <= 1,000 sq m",9/25/2015 6:26,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS"
107,SAMPLE AREA,"6.  > 1000 <= 5,000 sq m",English,"6.  > 1000 <= 5,000 sq m","> 1000 <= 5,000 sq m",9/25/2015 6:26,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS"
108,SAMPLE AREA,"7.  > 5000 <= 10,000 sq m",English,"7.  > 5000 <= 10,000 sq m","> 5000 <= 10,000 sq m",9/25/2015 6:26,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:26,"Reisinger, Martin, USDA, ARS"
109,SAMPLE COVERAGE,100%,English,100%,100% - Sample %age of local population,9/25/2015 6:40,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:40,"Reisinger, Martin, USDA, ARS"
110,SAMPLE COVERAGE,75%,English,75%,75% - Sample %age of local population,9/25/2015 6:40,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:40,"Reisinger, Martin, USDA, ARS"
111,SAMPLE COVERAGE,50%,English,50%,50% - Sample %age of local population,9/25/2015 6:40,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:40,"Reisinger, Martin, USDA, ARS"
112,SAMPLE COVERAGE,25%,English,25%,25% - Sample %age of local population,9/25/2015 6:40,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:40,"Reisinger, Martin, USDA, ARS"
113,SAMPLE COVERAGE,< 10%,English,< 10%,< 10% - Sample %age of local population,9/25/2015 6:40,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:40,"Reisinger, Martin, USDA, ARS"
114,SAMPLE STRUCTURE,Bulk,English,Bulk,Bulk,9/25/2015 6:43,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:43,"Reisinger, Martin, USDA, ARS"
115,SAMPLE STRUCTURE,Individual,English,Individual,Individual,9/25/2015 6:43,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:43,"Reisinger, Martin, USDA, ARS"
116,SAMPLE STRUCTURE,Clone,English,Clone,Clone,9/25/2015 6:43,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:43,"Reisinger, Martin, USDA, ARS"
117,SAMPLE STRUCTURE,Other,English,Other,Other,9/25/2015 6:43,"Reisinger, Martin, USDA, ARS",,,9/25/2015 6:43,"Reisinger, Martin, USDA, ARS"
118,SEED COLLECTION SOURCE,Plants,English,Plants,Seeds were found on plants,9/25/2015 8:11,"Reisinger, Martin, USDA, ARS",,,9/25/2015 8:11,"Reisinger, Martin, USDA, ARS"
119,SEED COLLECTION SOURCE,Ground,English,Ground,Seeds were found on the ground,9/25/2015 8:11,"Reisinger, Martin, USDA, ARS",,,9/25/2015 8:11,"Reisinger, Martin, USDA, ARS"
120,SEED COLLECTION SOURCE,Both,English,Both,Seeds were found both on the plant and on the ground,9/25/2015 8:11,"Reisinger, Martin, USDA, ARS",,,9/25/2015 8:11,"Reisinger, Martin, USDA, ARS"
121,SLOPE FORM,Straight,English,Straight,Slope Form (Straight),9/25/2015 8:13,"Reisinger, Martin, USDA, ARS",,,9/25/2015 8:13,"Reisinger, Martin, USDA, ARS"
122,SLOPE FORM,Concave,English,Concave,Slope Form (Concave),9/25/2015 8:13,"Reisinger, Martin, USDA, ARS",,,9/25/2015 8:13,"Reisinger, Martin, USDA, ARS"
123,SLOPE FORM,Convex,English,Convex,Slope Form (Convex),9/25/2015 8:13,"Reisinger, Martin, USDA, ARS",,,9/25/2015 8:13,"Reisinger, Martin, USDA, ARS"
124,SLOPE FORM,Terraced,English,Terraced,Slope Form (Terraced),9/25/2015 8:13,"Reisinger, Martin, USDA, ARS",,,9/25/2015 8:13,"Reisinger, Martin, USDA, ARS"
125,SLOPE FORM,Complex (irregular),English,Complex (irregular),Slope Form (Complex (irregular)),9/25/2015 8:13,"Reisinger, Martin, USDA, ARS",,,9/25/2015 8:13,"Reisinger, Martin, USDA, ARS"
126,SOIL MOISTURE,Dry,English,Dry,Dry - Soil Moisture,9/25/2015 8:15,"Reisinger, Martin, USDA, ARS",,,9/25/2015 8:15,"Reisinger, Martin, USDA, ARS"
127,SOIL MOISTURE,Slightly moist,English,Slightly moist,Slightly moist - Soil Moisture,9/25/2015 8:15,"Reisinger, Martin, USDA, ARS",,,9/25/2015 8:15,"Reisinger, Martin, USDA, ARS"
